Date,Camden Kerbside,Haringey Roadside,London Bexley,London Bloomsbury,London Eltham,London Haringey Priory Park South,London Harlington,London Hillingdon,London Marylebone Road,London N. Kensington,London Westminster,Southwark A2 Old Kent Road,Tower Hamlets Roadside
02/04/2019,54,44,35,46,23,33,42,55,97,38,No data,44,44
03/04/2019,67,44,41,46,25,31,42,58,80,38,No data,54,52
04/04/2019,59,39,22,29,7,25,26,67,75,24,No data,25,24
05/04/2019,55,31,22,36,12,19,24,59,74,26,No data,39,29
06/04/2019,29,24,13,28,9,15,25,27,31,21,No data,42,35
07/04/2019,38,24,14,30,10,13,18,17,27,20,No data,43,No data
08/04/2019,57,43,43,48,32,29,38,34,55,39,No data,60,49
09/04/2019,39,34,22,37,17,21,34,29,36,30,No data,53,53
10/04/2019,30,23,12,26,7,12,18,19,27,15,No data,42,42
11/04/2019,47,38,20,34,12,18,26,35,51,22,No data,50,38
12/04/2019,49,41,20,36,13,21,31,39,53,25,No data,57,44
13/04/2019,43,32,19,29,11,17,26,36,47,24,No data,46,38
14/04/2019,44,38,14,29,11,20,22,42,56,24,No data,38,33
15/04/2019,54,41,32,47,20,29,32,62,71,38,No data,52,39
16/04/2019,69,59,49,59,43,42,51,52,67,58,No data,77,60
17/04/2019,65,46,45,54,35,30,41,64,63,49,No data,68,49
18/04/2019,55,53,49,51,38,33,44,60,64,42,No data,67,50
19/04/2019,49,56,42,45,28,26,38,56,54,36,No data,65,54
20/04/2019,50,50,34,39,22,20,35,49,51,29,No data,57,46
21/04/2019,49,53,42,43,29,23,36,45,59,33,No data,61,47
22/04/2019,69,57,46,60,38,35,46,73,68,48,No data,75,58
23/04/2019,61,55,57,59,45,40,61,62,72,50,No data,80,62
24/04/2019,61,45,30,39,20,30,39,73,80,37,No data,41,41
25/04/2019,36,38,14,19,8,15,27,59,71,15,No data,14,16
26/04/2019,31,42,15,19,7,15,31,57,71,15,No data,17,17
27/04/2019,14,14,5,27,5,6,8,20,52,9,No data,13,19
28/04/2019,34,24,9,30,7,13,15,12,27,15,No data,33,31
