Date,Camden Kerbside,Haringey Roadside,London Bexley,London Bloomsbury,London Eltham,London Haringey Priory Park South,London Harlington,London Hillingdon,London Marylebone Road,London N. Kensington,London Westminster,Southwark A2 Old Kent Road,Tower Hamlets Roadside
11/02/2020,25,20,10,35,10,10,9,26,66,15,21,12,24
12/02/2020,40,37,18,35,16,22,25,46,74,24,30,22,28
13/02/2020,39,29,19,51,15,16,27,30,68,23,37,24,36
14/02/2020,50,47,23,40,18,23,35,50,77,32,37,31,27
15/02/2020,20,20,4,12,4,7,17,22,40,7,11,7,12
16/02/2020,24,20,5,13,6,7,23,21,55,8,11,8,16
17/02/2020,No data,23,9,26,9,9,13,26,70,14,18,11,22
18/02/2020,No data,30,10,30,No data,14,20,30,74,16,22,16,26
19/02/2020,No data,38,18,42,No data,19,30,45,76,24,29,30,32
20/02/2020,33,25,14,37,12,11,17,28,64,16,27,17,29
21/02/2020,32,28,10,20,9,11,22,30,74,14,17,13,19
22/02/2020,18,14,5,26,6,5,10,13,57,7,13,8,15
23/02/2020,30,22,13,31,11,12,19,18,40,17,20,20,22
24/02/2020,30,27,12,27,10,13,22,34,70,16,20,14,24
25/02/2020,31,26,12,38,12,12,14,36,86,18,23,15,29
26/02/2020,35,28,24,59,21,16,20,25,59,24,37,29,32
27/02/2020,58,39,29,47,24,24,30,30,54,30,47,49,43
28/02/2020,49,49,22,31,13,25,37,47,74,19,33,26,25
29/02/2020,26,21,6,21,5,7,13,20,61,11,14,10,15
01/03/2020,27,23,6,16,5,8,22,30,64,11,13,10,14
02/03/2020,55,32,24,44,17,16,22,28,61,26,35,41,37
03/03/2020,47,40,34,54,No data,24,32,45,87,39,44,39,35
04/03/2020,72,52,35,46,No data,35,43,58,90,45,48,48,46
05/03/2020,55,27,19,36,No data,14,18,16,37,22,36,40,47
06/03/2020,79,40,39,52,No data,30,43,33,62,42,49,57,54
07/03/2020,48,45,23,30,19,25,38,41,77,29,30,26,30
08/03/2020,26,24,7,14,7,10,20,25,59,12,11,11,17
09/03/2020,34,30,11,31,11,14,16,34,79,19,21,17,23
10/03/2020,23,17,7,26,9,9,9,20,63,13,16,11,20
11/03/2020,31,25,10,28,9,9,17,28,75,13,15,12,18
12/03/2020,24,20,8,29,8,8,No data,26,76,13,15,11,18
13/03/2020,34,31,20,44,15,13,No data,31,69,19,24,22,27
14/03/2020,41,32,10,17,7,12,27,34,61,13,17,13,14
15/03/2020,30,25,13,28,9,12,23,28,53,17,17,15,15
16/03/2020,48,37,30,44,24,20,31,36,68,32,34,No data,36
17/03/2020,36,32,14,17,8,13,25,38,66,17,21,No data,18
18/03/2020,36,32,12,17,7,13,21,30,60,16,17,No data,16
19/03/2020,40,29,17,26,11,17,23,23,29,23,44,No data,43
20/03/2020,26,19,10,16,6,9,11,15,21,13,18,No data,29
21/03/2020,24,16,11,22,7,10,13,19,34,15,16,23,19
22/03/2020,21,17,16,24,12,12,15,18,31,15,19,23,19
23/03/2020,56,43,39,46,26,27,28,44,65,35,40,49,36
24/03/2020,47,52,43,25,15,33,37,52,49,27,30,35,30
25/03/2020,59,45,46,51,30,34,39,40,61,44,46,52,43
26/03/2020,30,29,32,32,19,19,23,22,32,23,31,37,32
27/03/2020,22,22,23,24,9,12,14,12,20,15,25,27,26
28/03/2020,13,12,11,13,4,5,5,6,9,8,15,13,15
29/03/2020,11,9,7,9,2,3,2,5,7,5,10,8,10
30/03/2020,25,20,16,20,8,7,7,9,15,11,18,26,20
31/03/2020,26,26,17,24,9,14,14,20,24,14,21,30,23
01/04/2020,41,34,35,28,21,17,28,21,35,25,33,44,33
02/04/2020,18,19,22,65,14,10,12,14,38,16,20,19,22
03/04/2020,35,37,26,39,15,17,22,29,46,23,24,29,32
04/04/2020,33,44,24,20,10,20,20,31,34,19,23,22,23
05/04/2020,20,27,15,13,6,15,19,24,24,12,14,13,12
06/04/2020,21,23,19,46,9,10,16,19,39,15,16,19,18
07/04/2020,45,37,47,38,31,21,29,41,46,33,40,51,34
08/04/2020,50,43,49,51,32,28,36,42,57,40,47,53,42
09/04/2020,42,39,49,52,32,23,36,35,53,38,50,50,43
10/04/2020,34,31,40,48,29,20,30,31,46,34,42,40,35
11/04/2020,37,46,47,43,26,27,30,32,43,30,41,43,43
12/04/2020,21,28,20,24,8,12,20,23,26,15,20,19,22
13/04/2020,9,12,6,9,3,3,5,7,8,6,9,12,11
14/04/2020,28,25,15,18,7,12,12,23,28,12,14,27,18
15/04/2020,44,40,37,37,18,27,27,38,50,29,29,38,35
16/04/2020,44,39,45,45,31,29,36,41,47,38,48,51,40
17/04/2020,21,18,13,22,8,10,16,18,24,15,18,25,20
18/04/2020,25,25,18,22,10,12,15,18,20,18,19,27,23
19/04/2020,15,18,14,17,5,8,11,13,13,13,15,17,18
20/04/2020,18,17,14,18,7,9,10,15,16,12,16,26,19
21/04/2020,18,18,13,20,8,11,13,17,17,12,18,29,21
22/04/2020,22,24,20,25,11,12,15,16,20,15,21,31,25
23/04/2020,36,31,31,33,16,16,21,26,30,22,29,41,27
24/04/2020,33,28,28,29,16,12,23,22,28,20,27,44,30
25/04/2020,25,20,11,22,7,10,No data,23,21,15,15,22,15
26/04/2020,23,32,16,17,5,15,No data,25,24,12,17,20,17
27/04/2020,28,29,19,28,10,14,No data,25,27,19,22,25,27
28/04/2020,22,21,12,21,6,12,15,19,18,14,21,No data,33
29/04/2020,21,31,10,14,6,9,8,25,21,11,14,No data,19
30/04/2020,18,28,7,12,4,8,8,25,21,8,15,No data,16
01/05/2020,16,20,9,34,5,8,5,18,21,9,32,No data,16
02/05/2020,18,19,9,38,5,8,9,17,18,11,44,No data,18
03/05/2020,27,32,14,19,7,15,10,33,20,16,34,No data,17
04/05/2020,25,23,13,22,7,10,11,19,18,13,61,No data,20
05/05/2020,20,18,8,23,5,7,9,18,16,10,62,No data,13
06/05/2020,32,28,18,26,10,12,16,27,22,19,76,No data,22
07/05/2020,34,41,26,28,14,17,22,38,32,22,45,No data,26
08/05/2020,39,44,28,25,11,17,26,41,32,23,35,No data,31
09/05/2020,37,36,34,41,19,19,25,37,31,32,87,No data,34
10/05/2020,12,16,13,16,6,7,8,8,8,10,65,No data,15
11/05/2020,14,14,6,13,2,4,4,7,7,6,49,No data,13
12/05/2020,30,23,16,25,9,7,12,12,16,14,52,No data,25
13/05/2020,21,20,9,16,4,6,7,9,10,9,57,No data,20
14/05/2020,22,22,11,20,6,7,9,17,15,11,34,No data,19
15/05/2020,37,31,20,29,11,13,21,23,22,19,20,No data,32
16/05/2020,26,24,17,39,10,9,13,20,21,18,14,No data,27
17/05/2020,18,29,10,34,8,10,7,13,22,14,11,No data,21
18/05/2020,14,20,8,39,6,6,6,17,31,10,10,No data,19
19/05/2020,19,21,12,42,10,8,11,15,29,17,13,No data,23
20/05/2020,31,41,16,22,11,16,15,35,37,18,18,15,20
21/05/2020,31,39,22,26,13,14,17,28,38,18,18,25,23
22/05/2020,13,22,7,10,5,5,7,17,27,7,9,8,11
23/05/2020,6,10,2,18,2,2,3,9,18,4,4,5,10
24/05/2020,17,14,10,26,6,6,6,10,16,10,7,16,17
25/05/2020,22,26,14,21,10,10,11,20,27,14,14,17,19
26/05/2020,39,31,24,28,16,11,17,20,31,19,18,33,27
27/05/2020,42,29,26,29,20,12,18,19,36,22,26,48,28
28/05/2020,26,20,9,23,8,6,12,17,29,12,15,29,13
29/05/2020,33,24,14,26,12,9,16,23,35,16,19,36,18
30/05/2020,23,23,12,21,9,9,12,13,23,12,14,27,18
31/05/2020,16,20,9,17,8,8,9,11,17,10,11,17,14
01/06/2020,28,24,16,23,13,9,12,14,27,13,15,32,20
02/06/2020,43,28,18,23,12,8,18,14,27,19,17,41,28
03/06/2020,46,31,24,27,16,18,26,24,31,27,25,41,30
04/06/2020,28,16,11,28,6,5,9,10,21,10,12,26,19
05/06/2020,17,13,9,48,6,5,10,7,30,11,13,17,20
06/06/2020,15,19,9,30,7,8,8,18,32,13,14,12,21
07/06/2020,21,17,10,30,7,6,8,9,20,14,14,20,18
08/06/2020,32,25,11,15,6,6,8,8,16,10,12,33,21
09/06/2020,38,33,16,18,10,14,16,27,35,16,16,36,22
10/06/2020,32,39,16,15,9,13,11,38,40,16,17,16,18
11/06/2020,24,24,13,20,9,11,13,14,20,14,18,31,21
12/06/2020,33,30,22,31,16,17,18,25,34,22,25,38,23
13/06/2020,32,28,25,26,13,14,15,36,34,20,20,28,23
14/06/2020,20,32,13,15,7,9,12,29,32,14,16,14,16
15/06/2020,34,35,14,22,11,13,16,31,47,18,19,21,21
16/06/2020,33,37,16,13,6,11,11,35,46,11,16,17,17
17/06/2020,47,39,29,29,16,22,22,33,47,26,29,35,31
18/06/2020,27,35,11,19,8,9,14,33,44,15,17,No data,23
19/06/2020,21,28,7,10,4,7,9,26,38,9,10,No data,10
20/06/2020,18,30,6,9,5,7,9,24,29,8,9,No data,8
21/06/2020,9,16,5,22,4,5,7,12,23,6,7,No data,11
22/06/2020,22,30,7,11,5,6,7,27,38,8,11,No data,11
23/06/2020,38,37,19,19,12,14,10,43,49,16,18,No data,16
24/06/2020,59,37,40,43,31,22,26,35,60,32,35,No data,34
25/06/2020,57,37,39,39,30,20,24,35,61,29,32,No data,32
26/06/2020,37,45,23,19,13,15,15,39,59,18,19,No data,25
27/06/2020,12,21,5,5,3,4,6,12,21,6,7,No data,9
28/06/2020,8,14,3,5,3,3,4,10,22,5,5,No data,9
29/06/2020,11,16,4,9,5,4,5,17,34,6,6,No data,10
30/06/2020,18,27,8,10,9,8,8,22,32,10,11,No data,13
01/07/2020,16,24,8,9,9,7,8,19,33,9,9,No data,14
02/07/2020,23,22,12,23,12,10,10,18,39,17,15,No data,25
03/07/2020,18,24,6,12,7,6,8,21,34,9,9,No data,14
04/07/2020,12,18,4,8,6,5,7,13,19,6,8,No data,9
05/07/2020,5,8,1,8,4,1,2,8,19,3,4,No data,8
06/07/2020,19,12,7,23,8,5,8,14,24,10,12,No data,19
07/07/2020,30,33,13,22,11,12,14,27,54,21,18,No data,24
08/07/2020,16,25,11,20,8,11,9,18,30,13,14,No data,21
09/07/2020,18,21,7,12,5,8,7,15,28,10,10,No data,17
10/07/2020,31,14,12,23,6,7,11,8,19,12,14,No data,26
11/07/2020,30,20,16,25,7,9,13,12,22,16,14,No data,32
12/07/2020,27,31,14,21,8,10,13,20,34,17,21,No data,29
13/07/2020,25,25,12,23,8,10,10,20,42,14,14,No data,28
14/07/2020,34,19,12,21,No data,8,10,8,19,12,12,No data,30
15/07/2020,21,17,13,28,13,8,11,11,30,15,15,No data,23
16/07/2020,30,17,13,22,11,8,10,9,20,12,14,No data,22
17/07/2020,23,23,15,29,13,10,11,13,40,16,17,No data,27
18/07/2020,16,16,9,20,8,6,6,10,26,10,10,No data,20
19/07/2020,23,19,10,16,7,5,7,7,14,11,10,No data,19
20/07/2020,38,23,14,18,8,7,10,8,18,12,13,No data,24
21/07/2020,43,28,18,21,10,10,18,15,23,17,16,No data,29
22/07/2020,29,39,9,14,7,10,12,32,48,11,13,No data,21
23/07/2020,27,33,10,14,9,9,11,30,49,12,13,No data,19
24/07/2020,21,27,8,No data,7,7,10,19,35,10,13,No data,18
25/07/2020,17,27,6,No data,5,7,10,20,27,9,12,No data,14
26/07/2020,13,18,4,No data,3,6,7,17,22,8,9,No data,12
27/07/2020,19,24,6,No data,4,8,10,20,25,10,11,No data,12
28/07/2020,19,13,7,20,5,6,8,13,28,13,13,No data,17
29/07/2020,30,26,12,21,10,11,12,20,41,17,15,No data,24
30/07/2020,46,47,23,25,14,20,17,46,51,22,22,No data,23
31/07/2020,52,48,36,32,22,23,24,45,65,29,28,No data,33
01/08/2020,12,14,4,9,5,4,6,10,28,9,7,No data,18
02/08/2020,11,16,4,9,5,4,6,9,25,10,8,No data,17
03/08/2020,37,23,13,No data,8,7,12,9,19,13,13,No data,21
04/08/2020,30,36,12,No data,9,12,No data,27,44,15,16,No data,21
05/08/2020,20,29,4,8,3,5,No data,22,35,8,11,No data,11
06/08/2020,34,47,21,16,9,14,13,35,44,13,No data,No data,18
07/08/2020,74,72,50,52,30,37,37,55,84,52,50,No data,53
08/08/2020,42,40,40,42,30,22,19,17,36,30,37,No data,46
09/08/2020,26,24,14,17,9,8,9,13,22,13,14,No data,22
10/08/2020,52,37,32,30,22,17,18,31,48,24,27,No data,32
11/08/2020,73,47,43,38,31,28,33,38,61,37,42,No data,48
12/08/2020,75,47,39,40,26,26,37,38,64,35,39,No data,45
13/08/2020,42,31,17,24,14,11,15,12,21,15,23,No data,30
14/08/2020,42,24,14,No data,11,9,13,11,22,14,19,No data,25
15/08/2020,33,26,18,No data,15,12,13,12,23,15,23,No data,34
16/08/2020,29,35,18,No data,10,15,18,29,40,18,19,No data,33
17/08/2020,35,44,14,No data,8,15,17,33,55,15,25,No data,27
18/08/2020,27,33,9,No data,6,8,11,29,39,9,17,No data,9
19/08/2020,29,34,14,21,10,18,14,29,39,17,19,No data,17
20/08/2020,26,37,10,13,8,9,11,No data,47,12,14,No data,14
21/08/2020,16,21,5,9,4,4,6,No data,29,6,10,No data,7
22/08/2020,12,19,4,11,5,4,6,15,33,6,8,No data,9
23/08/2020,9,13,3,11,6,3,4,17,33,7,7,No data,13
24/08/2020,21,28,8,14,9,8,9,25,42,12,14,No data,18
25/08/2020,15,18,4,9,4,6,6,16,32,7,9,No data,12
26/08/2020,16,16,11,18,10,9,9,14,38,13,15,No data,20
27/08/2020,35,36,14,24,13,19,16,32,43,20,24,No data,25
28/08/2020,31,22,11,20,9,9,11,16,30,13,18,No data,30
29/08/2020,29,12,8,16,5,5,5,6,12,8,13,No data,24
30/08/2020,29,18,7,17,5,5,7,8,14,9,13,No data,21
31/08/2020,38,31,20,26,16,12,21,19,34,29,27,No data,34
01/09/2020,58,49,27,38,21,26,31,30,62,42,46,No data,39
02/09/2020,41,53,17,23,12,19,25,42,74,26,28,No data,29
03/09/2020,20,25,6,15,7,10,10,24,54,13,17,No data,16
04/09/2020,21,28,9,18,11,11,9,25,65,16,17,No data,25
05/09/2020,23,20,14,26,15,14,12,15,53,21,20,No data,26
06/09/2020,27,29,16,21,14,17,15,23,56,21,19,No data,27
07/09/2020,27,35,14,22,13,18,15,25,49,22,20,No data,25
08/09/2020,21,26,8,13,10,10,7,20,36,14,15,No data,20
09/09/2020,32,23,13,22,12,11,12,16,33,16,19,No data,26
10/09/2020,52,35,29,28,20,16,20,20,38,23,28,57,36
11/09/2020,35,42,23,27,21,22,23,36,60,29,27,27,35
12/09/2020,21,28,8,17,8,10,10,22,40,12,12,8,18
13/09/2020,26,35,9,16,6,13,14,31,36,14,16,10,17
14/09/2020,67,53,40,51,31,32,34,53,68,45,48,65,42
15/09/2020,61,54,53,No data,43,39,44,41,69,45,51,79,59
16/09/2020,42,34,23,No data,15,14,17,14,24,18,26,61,35
17/09/2020,37,26,9,No data,8,11,12,12,30,14,20,33,22
18/09/2020,35,30,15,No data,12,15,16,15,29,18,26,40,28
19/09/2020,24,26,12,No data,12,11,11,10,19,14,18,30,24
20/09/2020,22,24,14,No data,10,9,9,9,16,12,18,31,22
21/09/2020,66,56,32,No data,28,30,36,46,54,39,48,66,45
22/09/2020,48,54,24,No data,18,25,27,46,66,29,32,39,37
23/09/2020,30,32,9,No data,8,12,13,35,50,15,17,11,23
24/09/2020,33,40,17,No data,11,17,19,43,54,22,20,14,19
25/09/2020,25,14,14,No data,10,10,13,10,18,14,19,29,24
26/09/2020,30,13,8,No data,5,6,8,8,11,9,14,28,16
27/09/2020,27,16,10,No data,5,5,6,6,10,9,11,24,15
28/09/2020,32,28,24,No data,20,18,19,23,41,23,26,35,30
29/09/2020,41,39,27,No data,18,22,24,28,43,27,35,41,28
30/09/2020,35,47,15,No data,6,20,19,36,52,17,20,17,22
01/10/2020,30,32,17,18,16,18,17,32,48,21,21,19,28
02/10/2020,32,27,18,32,16,21,22,21,40,25,26,29,29
03/10/2020,24,40,13,16,12,17,16,27,38,17,21,No data,21
04/10/2020,No data,25,8,10,8,10,14,20,32,15,16,No data,16
05/10/2020,No data,28,13,16,15,16,12,25,46,22,18,No data,24
06/10/2020,No data,23,9,14,10,12,9,22,44,15,15,No data,17
07/10/2020,No data,32,18,20,15,17,17,28,43,21,21,No data,25
08/10/2020,No data,27,23,20,14,17,18,21,32,21,22,23,21
09/10/2020,No data,40,31,37,27,26,23,35,55,37,34,32,37
10/10/2020,No data,23,22,30,17,15,11,15,41,23,23,19,28
11/10/2020,No data,25,22,25,15,13,15,15,23,25,21,30,29
12/10/2020,No data,50,31,30,22,26,28,48,49,31,35,33,32
13/10/2020,No data,28,27,29,18,17,21,17,26,29,30,37,29
14/10/2020,No data,36,19,25,15,19,17,15,26,21,28,32,31
15/10/2020,No data,30,17,26,13,13,15,12,25,21,28,35,28
16/10/2020,No data,38,31,31,19,20,25,21,34,29,32,49,39
17/10/2020,No data,34,19,23,14,17,19,16,24,25,26,38,31
18/10/2020,No data,38,33,31,30,24,30,33,No data,38,35,41,35
19/10/2020,No data,44,21,22,14,24,26,39,No data,26,24,19,26
20/10/2020,No data,37,12,13,9,18,22,29,No data,16,16,11,14
21/10/2020,38,40,19,21,15,25,24,35,51,28,29,30,27
22/10/2020,32,37,20,18,14,20,22,35,57,23,30,23,23
23/10/2020,32,41,19,19,15,19,23,36,58,20,23,22,24
24/10/2020,20,31,8,12,6,12,14,22,43,11,13,9,14
25/10/2020,23,39,10,16,7,16,21,29,46,14,17,13,16
26/10/2020,34,39,19,20,16,20,21,35,53,32,26,20,25
27/10/2020,32,39,19,21,12,21,21,33,52,21,24,17,24
28/10/2020,30,34,11,23,11,15,17,30,59,16,23,12,20
29/10/2020,28,35,10,24,10,15,17,28,53,17,18,13,18
30/10/2020,28,34,9,21,8,13,16,25,47,14,18,10,15
31/10/2020,22,29,8,21,7,12,14,20,41,11,14,9,14
01/11/2020,15,21,4,8,4,9,10,13,29,7,10,5,9
02/11/2020,12,20,7,10,8,8,7,19,40,10,11,8,15
03/11/2020,30,41,23,35,20,24,15,38,59,29,26,25,28
04/11/2020,65,56,51,56,37,42,41,47,63,54,53,59,53
05/11/2020,62,71,56,64,35,50,51,48,73,63,63,61,53
06/11/2020,54,61,49,59,39,47,51,46,64,58,56,62,49
07/11/2020,42,49,39,48,29,37,44,40,49,48,46,50,38
08/11/2020,31,42,26,33,22,30,33,32,39,34,36,36,27
09/11/2020,41,54,32,30,17,33,32,38,48,35,35,39,29
10/11/2020,41,57,30,31,17,33,36,45,58,29,30,30,31
11/11/2020,28,43,15,20,10,23,24,29,44,20,19,17,20
12/11/2020,23,38,14,No data,11,16,16,28,50,16,18,15,23
13/11/2020,33,52,26,24,18,25,28,38,60,23,30,28,27
14/11/2020,16,34,9,12,6,16,18,21,35,12,13,11,15
15/11/2020,11,22,5,6,5,9,9,13,28,8,12,7,11
16/11/2020,20,30,11,16,11,14,13,24,39,14,17,15,22
17/11/2020,22,32,7,10,8,12,14,24,33,13,19,10,13
18/11/2020,17,30,10,15,8,13,13,20,36,12,16,11,14
19/11/2020,38,35,25,40,19,23,23,22,38,27,27,33,27
20/11/2020,41,64,30,37,19,32,33,45,62,28,41,37,33
21/11/2020,14,29,7,No data,9,No data,14,17,34,5,12,12,17
22/11/2020,28,40,28,68,22,24,22,25,42,27,26,29,29
23/11/2020,48,68,38,54,26,38,36,46,60,38,48,45,40
24/11/2020,27,48,15,26,9,23,23,34,44,14,23,17,19
25/11/2020,36,46,23,No data,15,28,30,31,44,22,25,29,26
26/11/2020,55,59,43,46,32,37,44,43,52,40,48,61,45
27/11/2020,49,59,43,52,33,44,46,45,53,48,54,59,41
28/11/2020,45,56,41,52,37,44,48,45,60,45,48,50,38
29/11/2020,37,50,31,44,29,37,41,37,No data,36,44,46,39
30/11/2020,25,37,28,36,24,No data,21,27,44,21,29,29,33
01/12/2020,52,39,27,33,20,22,35,30,32,26,30,44,40
02/12/2020,47,69,48,53,37,44,40,48,68,41,48,47,44
03/12/2020,46,66,39,35,25,36,40,56,72,33,42,38,35
04/12/2020,32,47,32,34,23,27,30,40,64,24,33,32,31
05/12/2020,38,53,31,29,23,28,26,33,55,23,32,38,34
06/12/2020,37,44,34,33,24,21,27,24,33,24,38,42,31
07/12/2020,48,53,46,43,36,30,38,34,47,38,53,55,37
08/12/2020,47,73,49,48,36,39,41,46,75,39,53,52,40
09/12/2020,45,73,38,38,30,38,30,41,69,35,41,39,35
10/12/2020,39,52,26,25,16,29,19,41,57,23,29,30,31
11/12/2020,48,68,43,41,31,37,38,53,79,35,46,45,36
12/12/2020,27,40,32,60,25,22,18,23,51,24,33,33,34
13/12/2020,27,53,19,21,11,23,24,34,50,16,22,21,20
14/12/2020,24,55,15,18,9,19,23,35,64,13,24,17,20
15/12/2020,37,70,30,27,13,25,35,47,78,20,32,27,25
16/12/2020,38,61,22,32,13,24,36,42,65,25,26,20,27
17/12/2020,27,54,21,26,12,18,30,43,61,21,30,19,21
18/12/2020,17,38,12,18,6,14,16,20,No data,11,13,10,16
19/12/2020,18,40,11,19,7,13,19,28,No data,12,14,12,16
20/12/2020,18,47,14,21,8,13,25,32,No data,14,21,14,16
21/12/2020,24,39,13,21,8,15,22,27,No data,15,20,13,19
22/12/2020,34,29,31,44,23,25,29,30,No data,30,31,35,28
23/12/2020,27,40,19,22,11,19,23,35,No data,17,24,22,25
24/12/2020,25,20,14,20,8,7,8,8,11,11,13,30,21
25/12/2020,18,34,18,29,15,14,11,16,27,21,21,23,26
26/12/2020,11,26,8,13,7,9,12,13,28,10,13,11,11
27/12/2020,18,24,19,24,11,14,19,24,33,16,21,18,17
28/12/2020,34,38,28,34,18,25,31,33,35,31,33,39,28
29/12/2020,32,24,26,37,19,14,19,14,31,21,25,33,28
30/12/2020,39,51,40,58,32,29,29,37,59,42,41,43,38
31/12/2020,35,42,36,38,29,21,21,21,37,29,35,45,33
01/01/2021,23,35,30,48,No data,21,18,20,29,24,31,24,26
02/01/2021,33,33,26,29,No data,17,18,17,24,22,25,28,24
03/01/2021,17,25,16,23,11,12,11,11,17,15,22,17,19
04/01/2021,16,29,14,19,9,11,10,10,13,11,19,22,17
05/01/2021,25,35,18,22,9,11,10,10,16,12,21,23,19
06/01/2021,31,No data,23,29,13,No data,17,18,22,21,27,27,22
07/01/2021,35,No data,42,52,No data,No data,25,28,No data,No data,43,No data,No data
08/01/2021,44,No data,37,42,No data,No data,31,34,43,37,46,41,34
09/01/2021,42,No data,42,45,No data,No data,25,30,42,37,47,43,38
10/01/2021,26,No data,34,41,No data,No data,18,27,42,28,34,26,32
11/01/2021,21,No data,16,25,No data,No data,11,29,49,19,19,13,30
12/01/2021,46,No data,33,41,No data,No data,24,26,37,30,32,46,33
13/01/2021,39,56,49,47,No data,46,29,44,61,36,43,42,39
14/01/2021,38,36,27,43,No data,29,24,30,45,26,37,42,38
15/01/2021,47,45,40,49,No data,34,30,38,44,34,46,49,38
16/01/2021,28,37,24,50,No data,29,19,23,45,21,32,27,29
17/01/2021,24,25,19,55,No data,20,16,22,37,20,24,26,32
18/01/2021,35,44,21,32,No data,28,23,44,53,25,31,24,23
19/01/2021,14,21,9,18,7,8,7,19,37,8,18,No data,13
20/01/2021,13,24,9,No data,6,10,9,17,33,7,13,7,10
21/01/2021,24,No data,17,No data,14,20,14,31,48,17,23,17,20
22/01/2021,42,No data,27,32,No data,32,25,41,59,30,29,28,31
23/01/2021,35,35,No data,44,No data,27,24,31,46,33,32,38,32
24/01/2021,44,49,No data,45,No data,39,27,35,50,37,41,44,38
25/01/2021,33,32,No data,58,No data,24,23,26,48,34,39,39,41
